time,power
9347,424.6918
9348,424.6918
9349,214.9518
9350,93.3708
9351,93.3708
9352,93.3708
9353,93.3708
9354,93.3708
9355,93.3708
9356,93.3708
9357,93.3708
9358,93.3708
9359,93.3708
9360,93.3708
9361,93.3708
9362,93.3708
9363,93.3708
9364,93.3708
9365,93.3708
9366,93.3708
9367,93.3708
9368,93.3708
9369,93.3708
9370,93.3708
9371,93.3708
9372,93.3708
9373,93.3708
9374,93.3708
9375,93.3708
9376,93.3708
9377,93.3708
9378,93.3708
9379,93.3708
9380,93.3708
9381,93.3708
9382,93.3708
9383,93.3708
9384,93.3708
9385,93.3708
9386,252.4488
9387,226.8768
9388,217.4698
9389,214.0088
9390,212.7358
9391,212.2678
9392,2030.2048
9393,2030.1418
9394,2030.1188
9395,2030.1098
9396,2030.1068
9397,211.9958
9398,211.9948
9399,211.9948
9400,211.9948
9401,93.3708
9402,93.3708
